Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 06:59:39
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 06:59:39
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 06:59:39
Loading class name:BtcRelax\User   |  Date:  11.05.2016 06:59:40
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 06:59:40
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 06:59:40
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 06:59:43
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 06:59:44
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 06:59:44
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 06:59:44
Loading class name:BtcRelax\Utils   |  Date:  11.05.2016 06:59:44
Try to load page:main   |  Date:  11.05.2016 06:59:44
Loading script:/opt/lampp/htdocs/shop/lib/page/main.php   |  Date:  11.05.2016 06:59:44
Loading class name:BtcRelax\BitID   |  Date:  11.05.2016 06:59:44
Loading class name:CurveFp   |  Date:  11.05.2016 06:59:44
Loading class name:Point   |  Date:  11.05.2016 06:59:44
Loading class name:gmp_Utils   |  Date:  11.05.2016 06:59:44
Session id:qbgblluv4ql8ajg0brvrtu6390 saved value:25ed26bf9c3cb4c29994aab61099d859 for key:nonce   |  Date:  11.05.2016 06:59:45
Session id:qbgblluv4ql8ajg0brvrtu6390 saved value:bitid://shop.btcrelax.xyz/callback.php?x=25ed26bf9c3cb4c29994aab61099d859&u=1 for key:bitid_uri   |  Date:  11.05.2016 06:59:45
Loading class name:QRcode   |  Date:  11.05.2016 06:59:47
Session id:qbgblluv4ql8ajg0brvrtu6390 saved value:img.php?name=25ed26bf9c3cb4c29994aab61099d859.png for key:qr_uri   |  Date:  11.05.2016 06:59:51
Session id:qbgblluv4ql8ajg0brvrtu6390 saved value:http://shop.btcrelax.xyz/ajax.php for key:ajax_uri   |  Date:  11.05.2016 06:59:51
Session id:qbgblluv4ql8ajg0brvrtu6390 saved value:index.php?page=user for key:user_uri   |  Date:  11.05.2016 06:59:52
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 06:59:52
Session id:qbgblluv4ql8ajg0brvrtu6390 saved value:185.100.84.82 for key:remote_ip   |  Date:  11.05.2016 06:59:52
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:00:29
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:00:29
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:00:29
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:00:29
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:00:29
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:00:29
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:00:29
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:00:29
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:00:29
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:00:29
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:00:29
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:00:58
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:00:58
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:00:58
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:00:58
